Strategy,Final Value,Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Ticker
DCA,8394.02,51.81,4.14,0.22,59.09,SPPP
Weighted DCA,7614.26,42.06,3.35,0.2,59.09,SPPP
DCA,15.43,-578.07,-17.19,0.23,99.99,SPQS
Enhanced DCA,13.7,-589.95,-17.51,0.23,99.99,SPQS
Weighted DCA,13.55,-591.08,-17.54,0.23,99.98,SPQS
DCA,10384.79,73.09,3.96,0.23,85.37,SPR
Enhanced DCA,10378.77,73.03,3.96,0.23,85.37,SPR
Weighted DCA,8963.24,58.37,3.15,0.22,85.37,SPR
DCA,52.22,-456.18,-59.99,-0.34,99.98,SPRB
Weighted DCA,48.81,-462.92,-60.53,-0.18,99.95,SPRB
Enhanced DCA,48.47,-463.62,-60.58,-0.31,99.98,SPRB
DCA,491.13,-232.05,-43.29,-1.61,96.01,SPRC
Enhanced DCA,167.51,-339.61,-56.4,-1.4,98.63,SPRC
Weighted DCA,61.67,-439.54,-65.85,-1.54,99.5,SPRC
Enhanced DCA,1029.68,-158.02,-18.12,0.08,97.46,SPRO
Weighted DCA,1008.86,-160.06,-18.33,0.08,97.45,SPRO
DCA,989.51,-162.0,-18.53,0.07,97.46,SPRO
DCA,26528.54,166.88,11.36,0.32,67.46,SPRS
Weighted DCA,26199.36,165.63,11.27,0.33,72.96,SPRS
Enhanced DCA,24682.86,159.67,10.84,0.31,67.45,SPRS
Enhanced DCA,664.58,-201.8,-28.23,-0.63,96.95,SPRU
DCA,540.0,-222.56,-30.64,-0.54,97.82,SPRU
Weighted DCA,229.17,-308.27,-39.75,-0.43,99.11,SPRU
Enhanced DCA,7809.94,44.6,9.69,0.32,63.08,SPRY
DCA,7582.7,41.64,9.02,0.31,59.91,SPRY
Weighted DCA,6989.72,33.5,7.2,0.29,67.75,SPRY
Weighted DCA,63541.82,254.23,17.9,0.59,52.01,SPSC
DCA,52670.19,235.46,16.48,0.56,52.01,SPSC
Enhanced DCA,48384.76,226.97,15.84,0.55,52.01,SPSC
Enhanced DCA,27744.56,171.36,14.09,0.49,96.17,SPST
DCA,25147.28,161.53,13.23,0.49,96.05,SPST
Weighted DCA,25103.98,161.36,13.21,0.49,96.24,SPST
Weighted DCA,1520.39,-119.05,-18.56,-0.14,91.48,SPT
DCA,1375.23,-129.08,-19.96,-0.23,90.37,SPT
Enhanced DCA,1259.4,-137.88,-21.17,-0.32,89.23,SPT
Weighted DCA,239712.2,387.0,36.25,0.91,78.26,SPTJF
DCA,203566.44,370.66,34.48,0.86,78.26,SPTJF
Enhanced DCA,172847.92,354.3,32.73,0.83,78.26,SPTJF
DCA,50480.72,231.22,9.65,0.36,75.82,SPTN
Enhanced DCA,50046.08,230.35,9.62,0.36,75.81,SPTN
Weighted DCA,33283.85,189.56,7.85,0.34,86.64,SPTN
Enhanced DCA,3665.19,-31.06,-22.06,-1.28,32.21,SPTY
DCA,3634.34,-31.9,-22.59,-1.4,31.3,SPTY
Weighted DCA,3097.88,-47.87,-31.9,-1.32,44.73,SPTY
Enhanced DCA,2146.2,-84.57,-7.12,0.04,94.65,SPWH
DCA,1920.37,-95.69,-8.02,0.03,94.69,SPWH
Weighted DCA,1763.15,-104.23,-8.7,0.02,94.64,SPWH
Enhanced DCA,6076.88,19.51,7.35,0.46,46.45,SPWR
Weighted DCA,5597.27,11.28,4.19,0.23,55.13,SPWR
DCA,5476.64,9.11,3.37,0.21,44.98,SPWR
Weighted DCA,1506076.28,570.78,13.34,0.46,81.11,SPXC
DCA,1347223.0,559.64,13.07,0.46,81.12,SPXC
Enhanced DCA,1306526.32,556.57,12.99,0.46,81.12,SPXC
Weighted DCA,16460.22,119.15,8.61,0.42,68.51,SPXSF
DCA,15057.54,110.24,7.94,0.39,68.51,SPXSF
Enhanced DCA,14501.06,106.48,7.66,0.38,68.51,SPXSF
Enhanced DCA,22276.01,149.41,7.82,0.5,44.18,SPXX
DCA,21471.19,145.73,7.62,0.48,47.17,SPXX
Weighted DCA,20342.99,140.33,7.33,0.45,51.14,SPXX
Weighted DCA,127406.96,323.79,10.42,0.62,55.17,SPY
DCA,118240.49,316.33,10.17,0.62,55.19,SPY
Enhanced DCA,109924.78,309.04,9.93,0.61,55.19,SPY
DCA,1921.78,-95.62,-17.46,-0.56,74.07,SQFT
Enhanced DCA,1776.53,-103.48,-18.75,-0.6,76.48,SQFT
Weighted DCA,1259.49,-137.87,-24.17,-0.57,83.72,SQFT
Enhanced DCA,6190.29,21.35,5.07,0.4,19.82,SQFTP
DCA,6089.96,19.72,4.67,0.35,24.88,SQFTP
Weighted DCA,5942.64,17.27,4.08,0.29,33.0,SQFTP
Weighted DCA,174150.59,355.05,11.73,0.42,77.73,SQM
DCA,153275.23,342.28,11.28,0.41,77.73,SQM
Enhanced DCA,145431.7,337.03,11.1,0.41,77.73,SQM
Enhanced DCA,214.77,-314.76,-19.59,-0.23,98.25,SQNS
DCA,207.78,-318.07,-19.77,-0.23,98.3,SQNS
Weighted DCA,201.69,-321.05,-19.93,-0.24,98.27,SQNS
Enhanced DCA,663873.85,488.87,9.73,0.63,45.0,SR
Weighted DCA,655874.63,487.65,9.7,0.61,45.0,SR
DCA,649612.41,486.69,9.68,0.63,45.0,SR
Weighted DCA,6244.09,22.22,3.54,0.32,15.84,SR-PA
DCA,6159.2,20.85,3.32,0.3,14.53,SR-PA
Enhanced DCA,6159.29,20.85,3.32,0.3,13.73,SR-PA
Enhanced DCA,11136.24,80.08,21.85,0.73,31.51,SRAD
DCA,11006.93,78.91,21.5,0.72,31.61,SRAD
Weighted DCA,10792.34,76.94,20.91,0.69,42.44,SRAD
Weighted DCA,37977.86,202.76,46.01,1.0,58.21,SRBEF
DCA,30605.79,181.18,40.24,0.97,57.67,SRBEF
Enhanced DCA,24286.21,158.05,34.32,0.88,50.15,SRBEF
Weighted DCA,6844.67,31.4,16.64,1.26,6.93,SRBK
Enhanced DCA,6316.79,23.38,12.14,1.28,4.94,SRBK
DCA,6289.54,22.94,11.91,1.2,5.06,SRBK
Weighted DCA,355111.81,426.3,10.64,0.48,64.3,SRCE
DCA,307573.81,411.93,10.27,0.47,64.3,SRCE
Enhanced DCA,293339.21,407.19,10.14,0.47,64.29,SRCE
Weighted DCA,4.27,-706.59,-25.22,0.08,99.99,SRCO
Enhanced DCA,0.66,-893.06,-30.74,0.09,100.0,SRCO
DCA,0.57,-908.78,-31.19,0.07,100.0,SRCO
Weighted DCA,21913.86,147.77,5.51,0.27,85.97,SRDX
DCA,17112.31,123.04,4.57,0.25,85.97,SRDX
Enhanced DCA,16028.17,116.49,4.32,0.25,85.95,SRDX
Weighted DCA,111123.84,310.12,12.06,0.68,45.0,SRE
DCA,105220.29,304.66,11.84,0.69,45.0,SRE
Enhanced DCA,105167.9,304.61,11.84,0.69,45.0,SRE
Weighted DCA,5924.43,16.96,2.74,0.19,19.57,SREA
Enhanced DCA,5868.07,16.01,2.59,0.18,18.28,SREA
DCA,5838.44,15.5,2.5,0.17,18.28,SREA
Weighted DCA,7242.69,37.06,18.43,0.98,57.26,SRFM
Enhanced DCA,6980.04,33.36,16.45,0.94,48.42,SRFM
DCA,6559.24,27.14,13.19,0.99,44.99,SRFM
Weighted DCA,533.77,-223.72,-19.62,-0.61,94.95,SRG
Enhanced DCA,533.14,-223.84,-19.63,-0.6,95.07,SRG
DCA,529.3,-224.56,-19.69,-0.61,95.12,SRG
DCA,9256.19,61.59,8.21,0.42,43.43,SRG-PA
Enhanced DCA,9076.26,59.62,7.94,0.46,41.45,SRG-PA
Weighted DCA,8542.71,53.56,7.1,0.35,58.33,SRG-PA
Enhanced DCA,1053.06,-155.77,-11.21,0.24,97.08,SRGXF
DCA,1047.71,-156.28,-11.24,0.24,97.26,SRGXF
Weighted DCA,1001.38,-160.81,-11.55,0.24,97.14,SRGXF
Enhanced DCA,97.54,-393.69,-20.17,0.0,99.98,SRGZ
Weighted DCA,84.99,-407.47,-20.8,0.02,99.94,SRGZ
DCA,78.18,-415.81,-21.17,-0.0,99.99,SRGZ
Enhanced DCA,2461.37,-70.87,-2.5,0.13,92.01,SRI
DCA,2376.2,-74.39,-2.63,0.13,92.08,SRI
Weighted DCA,2000.29,-91.61,-3.23,0.12,92.19,SRI
DCA,4125.75,-19.22,-0.65,0.19,96.73,SRL
Enhanced DCA,4108.72,-19.63,-0.67,0.19,96.73,SRL
Weighted DCA,4074.96,-20.46,-0.69,0.19,96.72,SRL
Enhanced DCA,1533.21,-118.21,-7.43,0.16,91.84,SRLZF
DCA,1270.36,-137.01,-8.56,0.15,93.3,SRLZF
Weighted DCA,856.27,-176.46,-10.89,0.12,95.49,SRLZF
Weighted DCA,3.82,-717.78,-20.73,0.2,99.94,SRMX
DCA,0.01,-1355.52,-35.51,0.18,100.0,SRMX
Enhanced DCA,0.01,-1367.34,-35.76,0.18,100.0,SRMX
Weighted DCA,4055.14,-20.95,-0.74,0.25,98.16,SRPT
Enhanced DCA,3668.53,-30.96,-1.09,0.24,98.03,SRPT
DCA,3639.05,-31.77,-1.12,0.24,98.08,SRPT
DCA,4959.14,-0.82,-0.04,0.38,99.05,SRRE
Enhanced DCA,3552.64,-34.17,-1.71,0.38,99.05,SRRE
Weighted DCA,2271.02,-78.92,-3.89,0.37,99.12,SRRE
Weighted DCA,13387.33,98.49,14.34,0.44,93.15,SRRK
Enhanced DCA,11401.18,82.43,11.87,0.43,92.79,SRRK
DCA,11323.44,81.74,11.76,0.43,92.91,SRRK
Enhanced DCA,3696.62,-30.2,-4.99,-0.12,76.25,SRTA
DCA,3277.88,-42.22,-6.9,-0.16,80.06,SRTA
Weighted DCA,2620.39,-64.61,-10.36,-0.2,85.55,SRTA
Weighted DCA,3262.22,-42.7,-4.54,0.2,87.47,SRTS
Enhanced DCA,3183.34,-45.15,-4.8,0.2,87.48,SRTS
DCA,3135.38,-46.67,-4.96,0.19,87.51,SRTS
Weighted DCA,6829.02,31.17,1.74,0.2,92.28,SRV
DCA,6630.58,28.23,1.57,0.19,92.29,SRV
Enhanced DCA,6527.81,26.66,1.49,0.19,92.29,SRV
Weighted DCA,2.96,-743.04,-38.5,0.24,99.99,SRXH
Enhanced DCA,2.35,-766.14,-39.42,0.26,100.0,SRXH
DCA,1.34,-822.28,-41.61,0.24,100.0,SRXH
Enhanced DCA,3921.35,-24.3,-5.01,-0.01,69.13,SRZN
DCA,3795.31,-27.57,-5.67,-0.05,69.18,SRZN
Weighted DCA,2028.53,-90.21,-17.38,-0.2,86.17,SRZN
Weighted DCA,47255.63,224.61,8.16,0.4,57.55,SSB
DCA,46959.7,223.99,8.13,0.4,56.91,SSB
Enhanced DCA,46901.68,223.86,8.13,0.4,56.91,SSB
Weighted DCA,359257.7,427.46,14.62,0.56,68.15,SSD
DCA,308553.94,412.25,14.06,0.55,68.16,SSD
Enhanced DCA,299827.48,409.38,13.96,0.55,68.16,SSD
DCA,5000.0,0.0,0.0,0.0,0.0,SSEA
Enhanced DCA,5000.01,0.0,0.01,0.0,0.0,SSEA
Weighted DCA,4999.99,-0.0,-0.01,0.0,0.0,SSEA
Weighted DCA,5003.09,0.06,0.37,0.0,0.03,SSEAU
DCA,5002.25,0.05,0.27,0.0,0.02,SSEAU
Enhanced DCA,5001.22,0.02,0.15,0.0,0.01,SSEAU
DCA,17758.22,126.74,30.73,0.6,75.46,SSGC
Enhanced DCA,17593.03,125.81,30.47,0.6,75.46,SSGC
Weighted DCA,15372.73,112.32,26.8,0.56,79.7,SSGC
DCA,25.08,-529.53,-16.1,0.29,100.0,SSHT
Enhanced DCA,24.2,-533.09,-16.2,0.29,100.0,SSHT
Weighted DCA,21.39,-545.44,-16.54,0.27,100.0,SSHT
Weighted DCA,7005.6,33.73,33.65,0.7,47.29,SSII
Enhanced DCA,6459.45,25.61,24.64,0.66,39.54,SSII
DCA,6216.15,21.77,20.59,0.63,37.21,SSII
Weighted DCA,5.89,-674.33,-28.75,-0.23,99.95,SSKN
Enhanced DCA,3.52,-725.82,-30.57,-0.24,99.98,SSKN
DCA,3.46,-727.68,-30.64,-0.24,99.98,SSKN
Enhanced DCA,32446.56,187.02,4.4,0.27,97.36,SSL
DCA,32194.5,186.24,4.38,0.27,97.36,SSL
Weighted DCA,30692.87,181.46,4.26,0.27,97.36,SSL
Enhanced DCA,32500.31,187.18,62.22,0.7,98.19,SSM
DCA,27781.41,171.49,55.78,0.71,95.54,SSM
Weighted DCA,27674.96,171.11,55.62,0.6,99.34,SSM
Enhanced DCA,8858.8,57.2,3.54,0.25,73.3,SSMXF
DCA,8732.57,55.76,3.45,0.25,73.3,SSMXF
Weighted DCA,7845.31,45.05,2.78,0.24,73.3,SSMXF
Weighted DCA,54091.92,238.12,16.61,0.68,48.85,SSNC
DCA,49525.22,229.3,15.95,0.66,48.86,SSNC
Enhanced DCA,47438.74,225.0,15.63,0.67,48.86,SSNC
Enhanced DCA,8535.28,53.48,1.45,0.2,94.2,SSP
DCA,8385.3,51.7,1.4,0.2,94.2,SSP
Weighted DCA,8271.91,50.34,1.36,0.2,94.2,SSP
Weighted DCA,11150.45,80.2,36.87,0.55,40.42,SSRGF
DCA,9729.81,66.58,29.76,0.53,28.51,SSRGF
Enhanced DCA,8214.86,49.65,21.44,0.53,14.25,SSRGF
DCA,60789.39,249.8,8.95,0.35,91.68,SSRM
Enhanced DCA,59873.92,248.28,8.89,0.35,91.68,SSRM
Weighted DCA,40440.77,209.04,7.44,0.34,91.68,SSRM
Enhanced DCA,13626.52,100.26,7.2,0.35,77.78,SSSS
Weighted DCA,13530.25,99.55,7.15,0.35,77.79,SSSS
DCA,13219.42,97.22,6.98,0.35,77.81,SSSS
Weighted DCA,6130.78,20.39,5.53,0.81,4.57,SSSSL
DCA,5942.9,17.28,4.67,0.76,3.3,SSSSL
Enhanced DCA,5748.14,13.94,3.75,0.7,2.59,SSSSL
Weighted DCA,5009.03,0.18,0.31,-10.54,0.01,SSST
DCA,5006.6,0.13,0.23,-15.05,0.01,SSST
Enhanced DCA,5003.28,0.07,0.11,-32.09,0.0,SSST
DCA,651.08,-203.86,-32.68,-1.2,97.29,SST
Enhanced DCA,573.87,-216.48,-34.31,-1.21,97.63,SST
Weighted DCA,410.87,-249.89,-38.44,-1.22,98.42,SST
Weighted DCA,2476.96,-70.24,-8.1,-0.14,82.71,SSTI
DCA,2430.93,-72.12,-8.31,-0.18,81.27,SSTI
Enhanced DCA,2395.16,-73.6,-8.47,-0.2,81.27,SSTI
Enhanced DCA,2869.11,-55.54,-4.2,0.04,87.39,SSTK
DCA,2687.89,-62.07,-4.68,0.04,87.39,SSTK
Weighted DCA,2582.2,-66.08,-4.97,0.05,87.39,SSTK
Weighted DCA,1576.56,-115.42,-2.5,0.2,99.73,SSUP
Enhanced DCA,1525.64,-118.7,-2.57,0.2,99.74,SSUP
DCA,1468.41,-122.53,-2.65,0.19,99.74,SSUP
DCA,16232.48,117.76,9.37,0.29,86.57,SSVFF
Enhanced DCA,15565.15,113.56,9.02,0.29,86.57,SSVFF
Weighted DCA,8468.54,52.69,4.09,0.28,90.26,SSVFF
Weighted DCA,14974.99,109.69,3.61,0.28,95.48,SSYS
DCA,13723.82,100.97,3.32,0.28,95.49,SSYS
Enhanced DCA,13444.15,98.91,3.25,0.28,95.49,SSYS
Weighted DCA,6166.26,20.97,1.36,0.12,71.75,ST
DCA,5875.09,16.13,1.04,0.1,71.75,ST
Enhanced DCA,5728.94,13.61,0.88,0.09,71.72,ST
Weighted DCA,24363.07,158.36,4.83,0.3,95.61,STAA
Enhanced DCA,24152.6,157.5,4.8,0.3,95.62,STAA
DCA,22922.42,152.27,4.64,0.3,95.62,STAA
Weighted DCA,25836.59,164.24,12.04,0.56,45.08,STAG
DCA,22682.87,151.22,11.03,0.53,45.08,STAG
Enhanced DCA,21255.14,144.72,10.53,0.51,45.08,STAG
Enhanced DCA,2717.69,-60.97,-21.19,-0.84,49.4,STAI
DCA,1724.89,-106.43,-34.02,-0.84,68.9,STAI
Weighted DCA,432.61,-244.73,-61.56,-0.83,93.22,STAI
Enhanced DCA,4566.37,-9.07,-13.63,0.0,12.03,STAK
DCA,4560.31,-9.2,-13.82,0.0,11.23,STAK
Weighted DCA,4393.85,-12.92,-18.84,0.0,16.01,STAK
Weighted DCA,70792.45,265.03,8.25,0.44,71.72,STBA
DCA,65060.5,256.59,7.98,0.43,71.72,STBA
Enhanced DCA,61539.9,251.02,7.8,0.42,71.72,STBA
DCA,627.12,-207.6,-48.69,-1.24,91.08,STBXF
Enhanced DCA,189.65,-327.2,-65.07,-1.15,98.05,STBXF
Weighted DCA,1.51,-810.58,-92.61,-1.36,99.98,STBXF
Enhanced DCA,700635.6,494.26,9.84,0.37,87.5,STC
DCA,683407.61,491.77,9.79,0.37,87.5,STC
Weighted DCA,654892.96,487.5,9.7,0.36,87.5,STC
Enhanced DCA,16.05,-574.15,-35.86,-0.26,99.89,STCB
DCA,6.0,-672.6,-40.56,-0.36,99.96,STCB
Weighted DCA,4.92,-692.46,-41.47,-0.23,99.97,STCB
Weighted DCA,406611.35,439.84,14.11,0.6,77.21,STE
DCA,344809.2,423.36,13.55,0.6,77.21,STE
Enhanced DCA,316540.01,414.8,13.25,0.6,77.2,STE
DCA,1824.91,-100.79,-19.99,-0.63,95.06,STEC
Enhanced DCA,1691.96,-108.36,-21.32,-0.67,95.43,STEC
Weighted DCA,1076.94,-153.53,-28.8,-0.76,96.88,STEC
DCA,732.05,-192.13,-39.3,-0.66,90.99,STEK
Enhanced DCA,720.02,-193.79,-39.56,-0.63,90.97,STEK
Weighted DCA,550.15,-220.7,-43.64,-0.59,94.1,STEK
DCA,6602.87,27.81,3.59,0.39,44.36,STEL
Enhanced DCA,6502.45,26.27,3.39,0.39,41.75,STEL
Weighted DCA,5672.07,12.61,1.61,0.09,59.32,STEL
Enhanced DCA,679.23,-199.62,-33.02,-0.2,97.01,STEM
DCA,623.35,-208.21,-34.17,-0.22,97.49,STEM
Weighted DCA,405.58,-251.19,-39.61,-0.28,98.48,STEM
Enhanced DCA,11735.32,85.32,18.43,0.56,38.25,STEP
DCA,11705.05,85.06,18.37,0.55,38.35,STEP
Weighted DCA,11117.34,79.91,17.17,0.52,48.19,STEP
Weighted DCA,130886.67,326.49,7.43,0.44,72.42,STEW
DCA,126653.22,323.2,7.35,0.44,72.42,STEW
Enhanced DCA,125234.22,322.07,7.32,0.44,72.42,STEW
DCA,676.69,-200.0,-16.75,0.08,99.79,STEX
Enhanced DCA,666.59,-201.5,-16.86,0.08,99.79,STEX
Weighted DCA,653.32,-203.51,-17.01,0.08,99.77,STEX
Enhanced DCA,4217.64,-17.02,-15.88,-0.87,28.1,STFS
DCA,3880.38,-25.35,-22.71,-0.8,36.43,STFS
Weighted DCA,3476.93,-36.33,-30.87,-0.8,46.6,STFS
DCA,1475.76,-122.03,-14.97,-0.13,91.21,STG
Enhanced DCA,1325.48,-132.77,-16.18,-0.16,92.04,STG
Weighted DCA,1047.88,-156.27,-18.75,-0.19,93.74,STG
Enhanced DCA,6839.66,31.33,1.03,0.26,96.15,STGW
DCA,6567.29,27.27,0.9,0.26,96.15,STGW
Weighted DCA,6226.12,21.93,0.72,0.26,96.15,STGW
DCA,3954.51,-23.46,-8.89,-1.17,34.87,STHO
Enhanced DCA,3848.9,-26.17,-9.86,-1.18,38.04,STHO
Weighted DCA,3520.23,-35.09,-13.0,-1.14,49.03,STHO
Enhanced DCA,1848.2,-99.52,-25.22,-1.09,73.05,STI
DCA,941.95,-166.92,-38.58,-1.19,89.01,STI
Weighted DCA,158.28,-345.28,-63.51,-1.26,98.21,STI
Weighted DCA,2617.87,-64.71,-8.53,0.22,97.1,STIM
Enhanced DCA,2479.99,-70.12,-9.21,0.17,96.9,STIM
DCA,2273.83,-78.8,-10.29,0.15,97.02,STIM
Weighted DCA,45432.77,220.68,14.96,0.65,41.73,STK
Enhanced DCA,45191.04,220.15,14.92,0.65,41.74,STK
DCA,45135.55,220.02,14.91,0.65,41.74,STK
Enhanced DCA,34498.05,193.15,50.38,0.48,87.85,STKE
DCA,34043.26,191.82,49.96,0.48,87.85,STKE
Weighted DCA,32285.9,186.52,48.29,0.48,87.85,STKE
DCA,36.2,-492.82,-66.04,-1.52,99.32,STKH
Enhanced DCA,31.64,-506.27,-67.02,-1.59,99.41,STKH
Weighted DCA,24.51,-531.82,-68.82,-1.86,99.55,STKH
Enhanced DCA,9608.57,65.32,1.66,0.22,97.82,STKL
DCA,8985.78,58.62,1.49,0.22,97.88,STKL
Weighted DCA,8329.63,51.04,1.29,0.22,97.96,STKL
DCA,4393.2,-12.94,-1.14,0.16,85.37,STKS
Enhanced DCA,4001.6,-22.27,-1.96,0.16,85.37,STKS
Weighted DCA,3605.86,-32.69,-2.86,0.14,85.37,STKS
DCA,5000.0,0.0,0.0,0.0,0.0,STKTF
Enhanced DCA,5000.0,0.0,0.0,0.0,0.0,STKTF
Weighted DCA,5000.0,0.0,0.0,0.0,0.0,STKTF
Enhanced DCA,27770.89,171.46,11.85,0.44,70.31,STLA
DCA,27682.11,171.13,11.83,0.44,70.31,STLA
Weighted DCA,27080.27,168.94,11.67,0.43,70.31,STLA
Enhanced DCA,263574.65,396.49,14.75,0.5,87.05,STLD
DCA,261785.73,395.81,14.72,0.5,87.05,STLD
Weighted DCA,254418.28,392.95,14.61,0.5,87.04,STLD
Weighted DCA,9666.99,65.93,5.82,0.36,49.62,STLE
DCA,9171.71,60.67,5.34,0.33,49.64,STLE
Enhanced DCA,8223.75,49.76,4.36,0.29,49.64,STLE
Weighted DCA,26657.35,167.36,12.3,0.52,58.64,STLJF
DCA,22675.18,151.18,11.04,0.5,58.64,STLJF
Enhanced DCA,21037.34,143.69,10.47,0.48,58.64,STLJF
Enhanced DCA,6905.27,32.28,11.07,0.36,63.02,STLNF
DCA,5839.6,15.52,5.18,0.32,65.18,STLNF
Weighted DCA,3020.67,-50.4,-15.11,0.33,87.92,STLNF
Enhanced DCA,2137.14,-85.0,-5.36,0.22,89.52,STLRF
DCA,2113.89,-86.09,-5.43,0.22,89.4,STLRF
Weighted DCA,1926.99,-95.35,-5.99,0.22,91.1,STLRF
Enhanced DCA,1597.44,-114.1,-3.42,0.07,98.26,STLY
DCA,1594.64,-114.28,-3.42,0.07,98.26,STLY
Weighted DCA,1439.36,-124.52,-3.73,0.06,98.25,STLY
Weighted DCA,35856.27,197.01,6.61,0.27,94.31,STM
DCA,30934.54,182.24,6.1,0.26,94.31,STM
Enhanced DCA,29475.73,177.41,5.93,0.26,94.3,STM
Enhanced DCA,474.56,-235.48,-25.46,0.0,100.0,STME
Weighted DCA,473.76,-235.65,-25.47,0.01,99.99,STME
DCA,444.3,-242.07,-26.07,-0.0,100.0,STME
Enhanced DCA,23866.22,156.3,12.65,0.43,68.13,STMEF
Weighted DCA,23189.01,153.42,12.4,0.42,68.13,STMEF
DCA,22586.57,150.79,12.18,0.42,68.13,STMEF
Weighted DCA,62904.96,253.22,13.4,0.51,67.41,STN
Enhanced DCA,60389.89,249.14,13.17,0.52,62.15,STN
DCA,58051.28,245.19,12.95,0.51,65.3,STN
Enhanced DCA,5399.66,7.69,1.67,0.11,11.54,STNDF
DCA,5329.23,6.38,1.38,0.08,13.69,STNDF
Weighted DCA,5133.03,2.63,0.57,0.01,19.42,STNDF
Enhanced DCA,2707.93,-61.33,-8.47,0.22,89.7,STNE
Weighted DCA,2659.93,-63.11,-8.71,0.26,92.19,STNE
DCA,2491.45,-69.66,-9.56,0.22,91.06,STNE
Enhanced DCA,5349.68,6.76,0.44,0.22,90.8,STNG
DCA,5228.04,4.46,0.29,0.22,90.8,STNG
Weighted DCA,4974.07,-0.52,-0.03,0.22,90.79,STNG
Enhanced DCA,10686.63,75.96,4.06,0.22,66.44,STOHF
DCA,10337.01,72.63,3.88,0.22,66.44,STOHF
Weighted DCA,9000.53,58.78,3.13,0.2,68.99,STOHF
Enhanced DCA,6302.42,23.15,3.75,0.32,90.54,STOK
DCA,5433.33,8.31,1.33,0.31,92.33,STOK
Weighted DCA,4600.38,-8.33,-1.32,0.31,94.39,STOK
Enhanced DCA,414.26,-249.07,-9.52,0.14,97.7,STQN
Weighted DCA,226.9,-309.27,-11.68,0.14,97.61,STQN
DCA,195.92,-323.95,-12.2,0.13,97.7,STQN
Weighted DCA,29408.01,177.18,6.26,0.3,85.5,STRA
DCA,26386.49,166.34,5.87,0.29,85.5,STRA
Enhanced DCA,25801.08,164.1,5.79,0.28,85.49,STRA
Weighted DCA,5009.75,0.19,0.99,0.0,0.1,STRC
DCA,5007.3,0.15,0.74,0.0,0.07,STRC
Enhanced DCA,5004.83,0.1,0.49,0.0,0.04,STRC
Enhanced DCA,5015.0,0.3,0.88,0.0,0.83,STRD
Weighted DCA,5011.85,0.24,0.7,0.0,1.38,STRD
DCA,5008.57,0.17,0.5,0.0,1.0,STRD
Weighted DCA,5161.73,3.18,6.08,0.0,2.25,STRF
DCA,5116.89,2.31,4.37,0.0,1.66,STRF
Enhanced DCA,5074.47,1.48,2.78,0.0,1.02,STRF
Enhanced DCA,4937.17,-1.26,-0.34,0.35,99.58,STRG
DCA,3137.2,-46.61,-11.65,0.3,99.86,STRG
Weighted DCA,220.69,-312.04,-56.37,0.13,99.99,STRG
Weighted DCA,5053.71,1.07,1.58,0.0,8.02,STRK
DCA,5041.12,0.82,1.21,0.0,5.86,STRK
Enhanced DCA,5039.44,0.79,1.16,0.0,4.41,STRK
Enhanced DCA,831477.91,511.38,16.12,0.44,92.51,STRL
Weighted DCA,823968.43,510.47,16.09,0.44,92.5,STRL
DCA,763760.86,502.88,15.83,0.44,92.51,STRL
Weighted DCA,403.78,-251.63,-30.17,-0.35,98.07,STRO
Enhanced DCA,346.51,-266.93,-31.67,-0.5,98.02,STRO
DCA,339.94,-268.84,-31.86,-0.52,98.02,STRO
Weighted DCA,508.09,-228.65,-9.65,-0.04,97.52,STRR
Enhanced DCA,476.83,-235.0,-9.91,-0.05,97.13,STRR
DCA,458.63,-238.9,-10.06,-0.06,97.41,STRR
Weighted DCA,11132.8,80.05,14.14,0.97,41.73,STRRP
DCA,9893.15,68.24,11.94,1.04,41.8,STRRP
Enhanced DCA,9475.07,63.92,11.14,1.09,38.29,STRRP
DCA,19961.56,138.44,4.25,0.26,87.61,STRS
Enhanced DCA,19806.64,137.66,4.23,0.26,87.61,STRS
Weighted DCA,18869.8,132.81,4.08,0.26,87.6,STRS
Weighted DCA,27848.26,171.73,5.78,0.3,89.98,STRT
DCA,24767.04,160.01,5.37,0.29,89.98,STRT
Enhanced DCA,24021.75,156.95,5.27,0.29,89.95,STRT
Weighted DCA,7121.66,35.37,14.48,1.67,22.93,STRW
DCA,6530.46,26.7,10.75,1.69,17.83,STRW
Enhanced DCA,6377.94,24.34,9.75,1.76,15.25,STRW
Enhanced DCA,4947.6,-1.05,-2.47,0.0,2.59,STRZ
DCA,4934.18,-1.33,-3.1,0.0,3.1,STRZ
Weighted DCA,4909.0,-1.84,-4.27,0.0,4.21,STRZ
Enhanced DCA,1625.35,-112.37,-8.58,0.2,92.78,STSBF
DCA,1493.21,-120.85,-9.2,0.2,92.78,STSBF
Weighted DCA,1266.62,-137.31,-10.39,0.19,92.73,STSBF
DCA,4149.29,-18.65,-4.12,-0.6,53.66,STSFF
Enhanced DCA,4089.76,-20.1,-4.43,-0.78,50.97,STSFF
Weighted DCA,3960.1,-23.32,-5.12,-0.51,60.34,STSFF
DCA,5000.0,0.0,0.0,0.0,0.0,STSR
Enhanced DCA,5000.0,0.0,0.0,0.0,0.0,STSR
Weighted DCA,5000.0,0.0,0.0,0.0,0.0,STSR
DCA,462.22,-238.12,-49.67,-1.43,95.11,STSS
